576288,22,20000439,Nene Hilario,447.2,621,68.3,132.1,58.9,68.3,0.0,53.5,140.1,99.1,8.8
576289,28,20000440,Marcin Gortat,744.6,854,112.8,211.9,60.6,112.8,0.0,54.7,297.3,104.8,13.7
577191,1,20000441,Bradley Beal,3870.5,3448,870.2,1832.7,61.4,632.1,238.1,510.3,468.1,257.4,27.4
577192,1,20000442,John Wall,1430.2,1256,279.1,628.7,55.7,221.0,58.1,199.3,132.1,80.9,44.6
577193,11,20000443,Otto Porter,1706.0,1917,340.6,732.4,62.2,222.1,118.5,109.3,357.6,123.0,12.6
576290,28,20000452,Garrett Temple,1303.8,2324,236.9,561.5,58.4,134.4,102.5,121.9,246.0,232.4,8.9
576291,5,20000453,Terrence Ross,2133.9,2449,501.2,1169.8,60.8,254.0,247.2,164.0,318.9,135.5,11.3
576292,21,20000455,Jonas Valanciunas,1622.8,1243,342.8,612.8,65.2,326.9,15.9,210.7,477.2,166.3,14.4
576293,24,20000456,DeMar DeRozan,3356.5,3062,718.7,1495.5,55.0,710.7,9.1,502.3,526.2,201.6,31.5
576294,10,20000457,Kyle Lowry,2515.4,2521,346.3,841.7,58.9,167.4,178.8,221.0,355.4,189.1,39.6
575661,7,20000458,Amir Johnson,547.2,603,90.0,178.8,61.6,76.3,13.7,46.7,167.4,112.8,18.2
576295,28,20000459,Lou Williams,2645.2,2269,551.3,1296.2,53.6,431.7,119.6,552.4,252.9,91.1,37.6
575662,18,20000460,Patrick Patterson,555.7,980,93.4,249.4,54.6,41.0,52.4,34.2,167.4,52.4,5.9
576296,4,20000464,James Johnson,1015.6,1325,186.8,431.7,56.8,129.8,57.0,79.7,200.5,129.8,19.3
649809,21,20000466,Bruno Caboclo,686.4,910,109.3,256.3,60.7,54.7,54.7,57.0,180.0,92.3,10.7
576297,23,20000468,Anthony Davis,3325.2,2106,603.7,1168.6,61.5,549.0,54.7,493.2,765.4,150.3,21.7
576299,22,20000471,Eric Gordon,1731.4,2457,437.4,1068.4,59.8,191.4,246.0,173.1,168.6,162.9,10.7
576301,23,20000474,Jrue Holiday,3091.0,2736,623.0,1320.1,59.6,488.6,134.4,308.7,380.4,168.6,36.2
575663,26,20000482,Draymond Green,2171.7,2351,214.1,480.7,57.2,160.6,53.5,103.6,547.9,224.4,30.6
576304,30,20000483,Harrison Barnes,2162.6,2884,490.9,1169.8,57.4,292.7,198.2,316.6,411.2,139.0,8.1
575664,26,20000485,Stephen Curry,3311.4,2655,719.8,1526.3,68.8,316.6,403.2,326.9,420.3,189.1,27.5
575665,26,20000486,Klay Thompson,2807.4,3021,746.0,1596.9,63.0,471.5,274.5,180.0,340.6,178.8,12.0
575666,26,20000487,Andre Iguodala,1352.4,1796,172.0,344.0,65.9,117.3,54.7,76.3,287.0,108.2,19.1
577195,21,20000492,Justin Holiday,1906.2,2968,341.7,885.0,55.8,157.2,184.5,120.7,367.9,186.8,10.9
576305,15,20000497,Giannis Antetokounmpo,4377.9,2686,821.2,1420.3,68.2,762.0,59.2,781.4,1022.8,264.2,34.5
576306,15,20000498,Ersan Ilyasova,1081.4,1402,190.2,434.0,58.5,124.2,66.1,84.3,344.0,195.9,7.2
576308,15,20000500,Khris Middleton,2798.2,2726,576.3,1307.6,59.1,372.5,203.9,293.9,525.1,195.9,22.9
576309,5,20000501,Michael Carter-Williams,424.8,423,52.4,140.1,47.3,41.0,11.4,60.4,79.7,54.7,30.1
576310,12,20000502,John Henson,238.3,214,35.3,76.3,61.2,22.8,12.5,11.4,80.9,18.2,13.2
576311,8,20000505,Jared Dudley,750.0,1388,115.0,272.2,61.1,54.7,60.4,52.4,176.5,149.2,10.4
577196,1,20000511,Jabari Parker,1895.5,1964,420.3,853.1,60.8,350.8,69.5,209.6,479.5,165.2,15.4
612670,21,20000514,Joakim Noah,876.0,788,125.3,242.6,58.8,125.3,0.0,124.2,271.1,109.3,23.5
576314,7,20000515,Jimmy Butler,2561.5,2488,476.1,1029.7,57.0,399.8,76.3,415.7,389.5,126.4,20.5
576315,16,20000516,Derrick Rose,1616.2,1585,413.5,857.7,59.0,352.0,61.5,182.2,159.5,64.9,30.1
576316,16,20000517,Taj Gibson,1753.6,1920,346.3,611.6,65.7,333.7,12.5,201.6,521.7,211.9,9.5
576317,15,20000519,Tony Snell,910.5,1484,185.7,411.2,64.4,93.4,92.3,47.8,178.8,102.5,8.7
576319,13,20000522,Doug McDermott,917.2,1525,235.8,480.7,67.2,140.1,95.7,90.0,124.2,118.5,9.2
576320,23,20000524,E'Twaun Moore,1111.0,1666,291.6,605.9,63.0,205.0,86.6,67.2,144.7,127.6,10.9
576322,25,20000527,Dirk Nowitzki,741.6,906,153.8,428.3,50.6,80.9,72.9,57.0,180.0,86.6,9.0
576323,27,20000528,Tyson Chandler,732.3,995,69.5,112.8,70.2,69.5,0.0,99.1,349.7,125.3,6.7
577197,27,20000530,Rajon Rondo,1443.2,1558,199.3,492.0,52.7,141.2,58.1,41.0,276.8,113.9,40.5
576324,25,20000531,J.J. Barea,933.4,855,183.4,438.5,53.3,140.1,43.3,88.8,108.2,57.0,54.1
577198,19,20000532,Al-Farouq Aminu,2025.1,2609,292.7,675.4,58.5,183.4,109.3,197.0,694.8,162.9,7.7
576326,25,20000539,Dwight Powell,1819.2,1893,330.3,553.6,72.7,285.9,44.4,289.3,468.1,228.9,12.2
576327,1,20000541,Trevor Ariza,2055.0,2674,334.9,838.3,56.6,169.7,165.2,186.8,422.6,148.1,16.5
